id,retailer,long_wgs,lat_wgs,size_band,size_code
1010004278,Tesco,0.555791333,51.27667663,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010018580,Marks and Spencer,0.550300799,51.28641737,"30,138 ft2 > (2,800 m2)",Very large
1010019227,Morrisons,-0.789758626,54.14139534,"< 3,013 ft2 (280m2)",Small convenience
1010010545,Lidl,-0.779629919,54.24475356,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010009997,The Co-operative Group,-1.06411665,53.19333356,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010000746,Asda,-1.16981059,53.15684127,"30,138 ft2 > (2,800 m2)",Very large
1010005801,Tesco,-5.534970441,50.11946968,"< 3,013 ft2 (280m2)",Small convenience
1010008160,The Co-operative Group,-5.549613878,50.10605512,"< 3,013 ft2 (280m2)",Small convenience
1010008152,The Co-operative Group,-5.48078592,50.2116683,"< 3,013 ft2 (280m2)",Small convenience
1010010973,Iceland,-5.533564607,50.12018899,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010020274,The Co-operative Group,0.226841078,52.60566954,"< 3,013 ft2 (280m2)",Small convenience
1010016892,Spar,-0.024232061,52.4938009,"< 3,013 ft2 (280m2)",Small convenience
1010014379,Heron,0.088398739,52.55056021,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010013813,Aldi,0.045612957,52.4641203,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010006370,Tesco,1.403844788,51.38651494,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010018616,Aldi,-2.705350624,52.96809511,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010011435,Iceland,-2.485490171,52.90462408,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010006686,Waitrose,-0.914450346,52.47683579,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010013881,Waitrose,-1.557284091,51.48125912,"< 3,013 ft2 (280m2)",Small convenience
1010018814,Morrisons,-1.547888726,53.1343625,"< 3,013 ft2 (280m2)",Small convenience
1010008501,The Co-operative Group,-1.553380125,53.13822597,"< 3,013 ft2 (280m2)",Small convenience
1010013828,Marks and Spencer,-1.556464904,53.13931782,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010018283,Spar,-6.385192931,58.21527472,"< 3,013 ft2 (280m2)",Small convenience
1010006006,Tesco,-0.893620978,52.77327595,"< 3,013 ft2 (280m2)",Small convenience
1010011762,Central England Co-operative,-0.951717158,52.7643201,"< 3,013 ft2 (280m2)",Small convenience
1010014335,Iceland,-3.362375278,51.7272472,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010016874,Spar,-3.383409158,51.75153812,"< 3,013 ft2 (280m2)",Small convenience
1010001117,Asda,-1.295877208,53.59375863,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010000419,Aldi,-1.308574184,53.53911895,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010016430,Spar,-1.356540349,53.51027161,"< 3,013 ft2 (280m2)",Small convenience
1010008143,The Co-operative Group,-1.322559273,53.52094332,"< 3,013 ft2 (280m2)",Small convenience
1010001074,Asda,-1.303763742,53.53291538,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010003458,Sainsburys,-1.231310273,53.48221019,"< 3,013 ft2 (280m2)",Small convenience
1010005806,Tesco,-1.249092631,54.56893832,"< 3,013 ft2 (280m2)",Small convenience
1010003302,Sainsburys,-1.242790094,54.57676462,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010015904,Budgens,-1.198303083,54.53024915,"< 3,013 ft2 (280m2)",Small convenience
1010017423,Spar,-1.169103451,54.5281395,"< 3,013 ft2 (280m2)",Small convenience
1010005815,Tesco,-1.155738187,54.55734384,"< 3,013 ft2 (280m2)",Small convenience
1010018003,Spar,-1.198641872,54.53065956,"< 3,013 ft2 (280m2)",Small convenience
1010018929,Iceland,-1.212754632,54.57524015,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010017276,Spar,-4.176756669,50.37290833,"< 3,013 ft2 (280m2)",Small convenience
1010010398,Asda,-4.131731466,50.37151657,"< 3,013 ft2 (280m2)",Small convenience
1010003156,Sainsburys,-4.087236825,50.38891964,"30,138 ft2 > (2,800 m2)",Very large
1010005457,Tesco,-4.132667901,50.3720861,"< 3,013 ft2 (280m2)",Small convenience
1010008246,The Co-operative Group,-4.118367141,50.39231411,"< 3,013 ft2 (280m2)",Small convenience
1010008249,The Co-operative Group,-4.138884872,50.38707336,"< 3,013 ft2 (280m2)",Small convenience
1010017339,Spar,-4.141900151,50.38018085,"< 3,013 ft2 (280m2)",Small convenience
1010003740,Sainsburys,-4.133196262,50.38076865,"< 3,013 ft2 (280m2)",Small convenience
