lsoa11cd,FHRSID
E01000461,10
E01000462,19
E01000463,18
E01000464,12
E01000465,10
E01000466,11
E01000467,6
E01000468,3
E01000469,6
E01000470,13
E01000471,45
E01000472,49
E01000473,40
E01000474,58
E01000475,33
E01000476,27
E01000477,27
E01000478,42
E01000479,12
E01000480,11
E01000481,13
E01000482,16
E01000483,11
E01000484,18
E01000485,13
E01000486,7
E01000487,7
E01000488,34
E01000489,31
E01000490,40
E01000491,43
E01000492,31
E01000493,21
E01000494,30
E01000495,33
E01000497,15
E01000498,8
E01000499,10
E01000501,10
E01000502,13
E01000503,13
E01000504,60
E01000505,38
E01000506,33
E01000507,27
E01000508,35
E01000509,14
E01000510,16
E01000511,18
E01000512,30
E01000513,26
E01000514,21
E01000515,29
E01000516,24
E01000517,30
E01000518,17
E01000519,13
E01000520,34
E01000521,51
E01000522,60
E01000523,51
E01000524,47
E01000525,50
E01000526,32
E01000527,53
E01000528,39
E01000530,23
E01000531,20
E01000532,21
E01000533,48
E01000534,44
E01000535,46
E01000536,18
E01000538,11
E01000539,8
E01000540,12
E01000541,15
E01000543,28
E01000544,84
E01000545,61
E01000546,54
E01000547,63
E01000548,70
E01000549,65
E01000550,74
E01000551,84
E01000552,88
E01000553,40
E01000554,33
E01000555,45
E01000556,45
E01000557,46
E01000558,46
E01000559,54
E01000560,43
E01000561,37
E01000562,4
E01000563,8
E01000564,14
E01000565,14
E01000566,14
E01000567,26
E01000568,11
E01000569,12
E01000570,38
E01000571,55
E01000572,11
E01000573,14
E01000574,19
E01000575,21
E01000576,23
E01000577,18
E01000578,27
E01000579,32
E01000580,62
E01000581,23
E01000582,34
E01000583,73
E01000584,22
E01000585,23
E01000586,45
E01000587,48
E01000588,27
E01000589,37
E01000590,39
E01000591,30
E01000592,48
E01000593,42
E01000594,31
E01000595,33
E01000596,15
E01000599,30
E01000600,42
E01000601,14
E01000602,9
E01000603,12
E01000604,10
E01000605,7
E01000606,31
E01000607,23
E01000608,16
E01000609,34
E01000610,43
E01000611,14
E01000612,29
E01000613,20
E01000615,23
E01000616,53
E01000617,29
E01000618,20
E01000619,11
E01000620,23
E01000621,8
E01000622,15
E01000623,11
E01000624,11
E01000625,12
E01000626,13
E01000627,15
E01000628,17
E01000629,12
E01000630,54
E01000631,48
E01000632,55
E01000633,48
E01000634,45
E01000635,51
E01000636,49
E01000637,40
E01000638,36
E01000639,40
E01000640,41
E01000641,35
E01000642,33
E01000643,36
E01000644,40
E01000645,6
E01000646,9
E01000647,8
E01000648,10
E01000649,5
E01000650,12
E01000651,22
E01000652,14
E01000653,5
E01000654,16
E01000655,4
E01000656,9
E01000657,16
E01000658,16
E01000659,15
E01000661,15
E01000662,14
E01000663,10
E01000664,4
E01000665,7
E01000666,2
E01000667,12
E01000668,16
E01000669,20
E01000670,40
E01000671,21
E01000672,15
E01000673,15
E01000674,48
E01000675,61
E01000676,67
E01000677,63
E01000678,57
E01000679,14
E01000680,0
E01000681,14
E01000682,19
E01000683,14
E01000684,17
E01000685,9
E01000686,19
E01000687,18
E01000688,12
E01000689,10
E01000690,12
E01000691,16
E01000692,13
E01000693,4
E01000694,4
E01000695,13
E01000696,8
E01000697,3
E01000698,4
E01000699,34
E01000700,39
E01000701,43
E01000702,44
E01000703,38
E01000704,16
E01000705,35
E01000706,23
E01000707,35
E01000708,21
E01000709,34
E01000710,16
E01000711,28
E01000712,24
E01000713,8
E01000714,30
E01000715,30
E01000716,13
E01000717,7
E01000718,7
E01000719,20
E01000720,14
E01000721,22
E01000722,30
E01000723,8
E01000724,22
E01000725,23
E01000726,13
E01000727,40
E01000728,13
E01000729,12
E01000730,30
E01000731,14
E01000732,8
E01000733,22
E01000734,16
E01000735,9
E01000736,9
E01000737,9
E01000738,16
E01000739,27
E01000740,47
E01000741,38
E01000742,55
E01000743,49
E01000744,27
E01000745,45
E01000746,40
E01000747,2
E01000748,3
E01000749,1
E01000750,6
E01000751,9
E01000752,11
E01000753,6
E01000754,9
E01000755,9
E01000756,6
E01000757,5
E01000758,6
E01000759,4
E01000760,6
E01000761,6
E01000762,8
E01000763,9
E01000764,11
E01000765,8
E01000766,9
E01000767,8
E01000768,12
E01000769,7
E01000770,37
E01000771,35
E01000772,26
E01000773,34
E01000774,16
E01000775,8
E01000777,12
E01000778,14
E01000779,17
E01000780,20
E01000781,19
E01000782,11
E01000783,14
E01000784,17
E01000785,10
E01000786,10
E01000787,24
E01000788,39
E01000789,5
E01000790,33
E01000791,38
E01000792,5
E01000793,35
E01000794,18
E01000795,9
E01000796,60
E01000797,39
E01000798,60
E01000799,53
E01000800,57
E01000801,53
E01000802,75
E01000803,72
E01000804,56
E01000805,45
E01000806,52
E01000807,17
E01000808,13
E01000809,18
E01000810,20
E01000811,22
E01000812,37
E01000813,23
E01000814,37
E01000815,17
E01000816,19
E01000818,19
E01000819,12
E01000820,12
E01000822,33
E01000823,50
E01000824,50
E01000825,59
E01000826,5
E01000827,6
E01000828,5
E01000829,60
E01000830,11
E01000831,31
E01000832,18
E01000833,5
E01000834,6
E01000835,22
E01000836,12
E01000837,23
E01000838,16
E01000839,25
E01000840,23
E01000841,19
E01000842,77
E01000843,94
E01000844,52
E01000845,95
E01000846,62
E01000847,66
E01000848,75
E01000849,80
E01000850,244
E01000851,167
E01000852,160
E01000853,175
E01000854,151
E01000855,229
E01000856,128
E01000857,58
E01000858,143
E01000859,96
E01000860,84
E01000861,106
E01000862,104
E01000863,112
E01000864,74
E01000865,110
E01000866,142
E01000867,120
E01000868,70
E01000869,73
E01000870,110
E01000871,45
E01000872,45
E01000873,40
E01000874,28
E01000875,41
E01000876,49
E01000877,25
E01000878,28
E01000879,63
E01000880,50
E01000881,78
E01000882,77
E01000883,61
E01000884,19
E01000885,33
E01000886,75
E01000887,66
E01000888,64
E01000889,93
E01000890,74
E01000891,100
E01000892,74
E01000893,38
E01000894,45
E01000895,42
E01000896,47
E01000897,68
E01000898,64
E01000899,23
E01000900,125
E01000901,117
E01000902,98
E01000903,95
E01000904,144
E01000905,127
E01000906,97
E01000907,68
E01000908,49
E01000909,43
E01000910,51
E01000911,65
E01000912,73
E01000913,18
E01000914,219
E01000915,219
E01000916,141
E01000917,151
E01000918,267
E01000919,275
E01000920,161
E01000921,79
E01000922,125
E01000923,89
E01000924,79
E01000925,80
E01000926,78
E01000927,137
